created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-29T11:55:22Z,1597559843967336400,1597559843967336450,"@Dmz_73 @laki2enjoy @aan_muba @jokowi Baik"" saja darimana...??
Selama ini gerombolan kadrun sungsang selalu cari celah buat gulingin pemerintahan yg SAH skg ini...
Lengah sedikit aja udah dikudeta...
Kalo org sungsang pasti anggap biasa aja atau berlebihan...",FALSE,259,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597555423401635800,1597555423401635842,1000872054,1000872054,Dmz_73,,,,NA,FALSE,0,4,FALSE,FALSE,in,NA,NA,NA,,"@Dmz_73 @laki2enjoy @aan_muba @jokowi Baik"" saja darimana...??
Selama ini gerombolan kadrun sungsang selalu cari celah buat gulingin pemerintahan yg SAH skg ini...
Lengah sedikit aja udah dikudeta...
Kalo org sungsang pasti anggap biasa aja atau berlebihan...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:47:37Z,159755789478588e4,1597557894785880064,"@gagal_hijrah Siap, maju terus jangan sampai indonesia kembali sperti tahun2 kemarin penuh bom bunuh diri, khilafah prtemuan akbar di mana2, khilafah masuk ke sgala sendi pemerintahan, kampus2, alhamdulillah jokowi sudah tidak ada bom bunuh diri lagi👍👍👍",FALSE,253,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597548446743163e3,1597548446743162881,1403707522595180500,1403707522595180553,gagal_hijrah,,,,NA,FALSE,0,0,FALSE,FALSE,in,NA,NA,NA,,"@gagal_hijrah Siap, maju terus jangan sampai indonesia kembali sperti tahun2 kemarin penuh bom bunuh diri, khilafah prtemuan akbar di mana2, khilafah masuk ke sgala sendi pemerintahan, kampus2, alhamdulillah jokowi sudah tidak ada bom bunuh diri lagi👍👍👍",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:46:19Z,1597557566846177300,1597557566846177281,"@GME_Lee77 @aan_muba @jokowi Jangan sensi kali la, itu bagian dari demokrasi, meraka bilang apa terserah, kan pemerintahan jalan terus. Harus kuat donk... tipis na",FALSE,163,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597556201159807e3,1597556201159806976,1470415007150067700,1470415007150067714,GME_Lee77,,,,NA,FALSE,0,0,FALSE,FALSE,in,NA,NA,NA,,"@GME_Lee77 @aan_muba @jokowi Jangan sensi kali la, itu bagian dari demokrasi, meraka bilang apa terserah, kan pemerintahan jalan terus. Harus kuat donk... tipis na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:40:54Z,1597556201159807e3,1597556201159806976,"@Dmz_73 @aan_muba @jokowi Jelas"" ganggu jalannya pemerintahan terus blgmya parno.
Demo minta turun terus itu apaan, Drun sang...
Kalo gk suka dengan Pemerintahan skg, jgn hidup dari subsidi pemerintah or out dari NKRI.
Tar gerombolan kadrun berkuasa baru balik NKRI...🤣😂😂😂",FALSE,272,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597554719282851800,1597554719282851841,1000872054,1000872054,Dmz_73,,,,NA,FALSE,1,4,FALSE,FALSE,in,NA,NA,NA,,"@Dmz_73 @aan_muba @jokowi Jelas"" ganggu jalannya pemerintahan terus blgmya parno.
Demo minta turun terus itu apaan, Drun sang...
Kalo gk suka dengan Pemerintahan skg, jgn hidup dari subsidi pemerintah or out dari NKRI.
Tar gerombolan kadrun berkuasa baru balik NKRI...🤣😂😂😂",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:26:03Z,1597552464315973600,1597552464315973634,Masyarakat apresiasi kinerja pemerintahan Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/v6OiHiRMtL,FALSE,212,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1597552461723897900,1597552461723897856,984696309142581200,984696309142581248,anjaniriani28,,,,NA,TRUE,1,1,FALSE,FALSE,in,FALSE,1597497184429015e3,1597497184429015040,,Masyarakat apresiasi kinerja pemerintahan Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/v6OiHiRMtL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:20:21Z,1597551031042609200,1597551031042609153,"@_LOVE_AG4EVER @restyca_yah @jokowi Bahasa lu ketinggian bong, gk ush bawa bawa keadilan, kalo selagi pemerintahan skrg blm lengser, gk bakal ad namanya keadilan, gitu aja gk paham, upgrade dkit dong otak lu sebagai bani cebong",FALSE,227,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597385885221236700,1597385885221236736,799023207294505e3,799023207294504960,_LOVE_AG4EVER,,,,NA,FALSE,0,6,FALSE,FALSE,in,NA,NA,NA,,"@_LOVE_AG4EVER @restyca_yah @jokowi Bahasa lu ketinggian bong, gk ush bawa bawa keadilan, kalo selagi pemerintahan skrg blm lengser, gk bakal ad namanya keadilan, gitu aja gk paham, upgrade dkit dong otak lu sebagai bani cebong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:14:13Z,1597549487064768500,1597549487064768512,"@Didik_Kuncoro78 Wilayah Pemerintahan jokowi, lucunya",FALSE,53,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",159727604873105e4,1597276048731049984,816968032341749800,816968032341749760,Didik_Kuncoro78,,,,NA,FALSE,0,0,FALSE,FALSE,in,NA,NA,NA,,"@Didik_Kuncoro78 Wilayah Pemerintahan jokowi, lucunya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:13:09Z,1597549219979882500,1597549219979882496,"@aikel112629 @bejokdi @HukumDan Kalau di zaman Orba tak ada keleluasaan untuknya, beruntung pemerintahan Jokowi sabar &amp; baik hati",FALSE,133,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597439983409057800,1597439983409057793,1044885586094448600,1044885586094448640,aikel112629,,,,NA,FALSE,0,3,FALSE,FALSE,in,NA,NA,NA,,"@aikel112629 @bejokdi @HukumDan Kalau di zaman Orba tak ada keleluasaan untuknya, beruntung pemerintahan Jokowi sabar &amp; baik hati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:11:27Z,1597548789170307e3,1597548789170307073,"@K4M4RUL @merdekadotcom Iya kenapa nasdem mengusung malaslah saya sebutkan calonya ,karena rakyat ingin perubahan kita lihat selama pemerintahan jokowi maruf bagaimana selama beliau memimpin indonesia sudah baikah indonesia ?",FALSE,225,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1597532165645815800,1597532165645815808,1230459237706322e3,1230459237706321921,K4M4RUL,,,,NA,FALSE,0,0,FALSE,FALSE,in,NA,NA,NA,,"@K4M4RUL @merdekadotcom Iya kenapa nasdem mengusung malaslah saya sebutkan calonya ,karena rakyat ingin perubahan kita lihat selama pemerintahan jokowi maruf bagaimana selama beliau memimpin indonesia sudah baikah indonesia ?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T11:10:07Z,1597548454888493e3,1597548454888493058,"@msaid_didu pernah buat postingan klu di ibukota ada 1 keluarga mati kelaparan,mulutmu menyemburkan kebohongan &amp; fitnah terus!Anda memfitnah pemerintahan @jokowi !
Tolong aparat tangkap Aki² ini suka memfitnah!
@mohmahfudmd @ListyoSigitP @kapoldametro @DivHumas_Polri  @CCICPolri https://t.co/Y9GMmzPWnl",FALSE,283,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,1117990249806721e3,1117990249806721024,msaid_didu,,,,NA,FALSE,0,0,FALSE,FALSE,in,FALSE,NA,NA,,"@msaid_didu pernah buat postingan klu di ibukota ada 1 keluarga mati kelaparan,mulutmu menyemburkan kebohongan &amp; fitnah terus!Anda memfitnah pemerintahan @jokowi !
Tolong aparat tangkap Aki² ini suka memfitnah!
@mohmahfudmd @ListyoSigitP @kapoldametro @DivHumas_Polri  @CCICPolri https://t.co/Y9GMmzPWnl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
